baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed
ENSG00000109906,2177.87091373085,-7.34179160778249,0.282400561006485,-25.9977939902673,5.24489659907325e-149,9.05688744727968e-145,Not Significant
ENSG00000096060,4566.25779087683,-4.26990717820542,0.218572573515258,-19.5354207050472,5.4891743500281e-85,4.73935313381426e-81,Not Significant
ENSG00000152583,1590.89365576433,-4.78579234511891,0.255572204139312,-18.725793601992,3.05090792526228e-78,1.75610260178097e-74,Not Significant
ENSG00000157514,4404.41218903581,-3.53429557166579,0.199304707899502,-17.733126371746,2.32725657629679e-70,1.00467666398732e-66,Not Significant
ENSG00000189221,3586.54361503893,-3.22567199690464,0.199119604541557,-16.1996705664983,5.06979347671694e-59,1.75090387511896e-55,Not Significant
ENSG00000101347,20171.5122027677,-3.84323584158809,0.264156572048238,-14.5490828101989,5.91913414681935e-48,1.46016583496109e-44,Not Significant
ENSG00000103196,5496.37479079806,-2.8948012279445,0.200772865802723,-14.4182891267234,3.97063520869821e-47,8.57061609797508e-44,Not Significant
ENSG00000135821,34036.8899826086,-3.03720775879346,0.225382215553013,-13.4758093106022,2.17091804048131e-41,4.16526808033681e-38,Not Significant
ENSG00000163884,1231.90216854004,-4.39666201083105,0.331330588773726,-13.2697135724877,3.46904155751608e-40,5.99034096151877e-37,Not Significant
ENSG00000119138,3380.92293819115,-2.18358408208318,0.189451605941681,-11.525814580613,9.77829813220407e-31,1.40709710122417e-27,Not Significant
ENSG00000139132,1773.31838538476,-2.27119616888713,0.205519065816723,-11.0510241950619,2.1672805032403e-28,2.87881536384258e-25,Not Significant
ENSG00000150907,877.438522570023,-2.44363593140409,0.22210705977712,-11.0020633016178,3.73486871113435e-28,4.60669377884772e-25,Not Significant
ENSG00000179094,1199.25895043171,-3.31120344314706,0.304870210279051,-10.8610265336068,1.76751021815122e-27,2.03475776313568e-24,Not Significant
ENSG00000125148,4379.83397684928,-2.1010117274107,0.198486990323574,-10.5851357007612,3.49274286607854e-26,3.76954273821526e-23,Not Significant
